Aasta;Test;Testi ID;Sugu;Kooli tüüp;Õppekeel;Soorituskeel;Maakond;Õppeasutus;Õppevorm;Sooritajaid;Max võimalik pallide arv;Keskmine;Keskmine (%);Mediaan;St hälve;Min punktide saajad;Max punktide saajad;Min;Max;AUP;ÜUP
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Lääne maakond;Noarootsi Gümnaasium;statsionaarne õpe;9;100;55,3;55,3;55;13,9;0;0;38;78;44,7;66
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Ida-Viru maakond;Narva Vanalinna Riigikool;statsionaarne õpe;9;100;57,7;57,7;63;14,4;0;0;40;77;46,6;68,8
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tabasalu Ühisgümnaasium;statsionaarne õpe;17;100;56,9;56,9;60;15,1;0;0;21;78;49,2;64,7
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Võru maakond;Võru Gümnaasium;statsionaarne õpe;48;100;70,8;70,8;71,5;12,3;0;0;25;91;67,2;74,4
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Ülenurme Gümnaasium;statsionaarne õpe;19;100;54,4;54,4;52;13,7;0;0;35;80;47,8;61
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Rapla maakond;Kohila Gümnaasium;statsionaarne õpe;17;100;60,9;60,9;65;12,2;0;0;34;77;54,6;67,2
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Lääne-Viru maakond;Tapa Gümnaasium;statsionaarne õpe;9;100;52,9;52,9;51;18,8;0;0;31;76;38,4;67,3
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Valga maakond;Audentese Spordigümnaasiumi Otepää filiaal;statsionaarne õpe;6;100;63,5;63,5;58,5;15;0;0;46;88;47,7;79,3
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Ülenurme Gümnaasium;statsionaarne õpe;23;100;57,2;57,2;56;13,7;0;0;37;81;51,2;63,1
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Põlva maakond;Räpina Ühisgümnaasium;statsionaarne õpe;9;100;58,4;58,4;64;14,4;0;0;28;75;47,4;69,5
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Valga maakond;Otepää Gümnaasium;statsionaarne õpe;9;100;73,3;73,3;81;13;0;0;54;85;63,3;83,3
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Jõgeva maakond;Oskar Lutsu Palamuse Gümnaasium;statsionaarne õpe;6;100;62,2;62,2;62,5;15,5;0;0;45;82;45,9;78,4
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Tehnikagümnaasium;statsionaarne õpe;13;100;60,2;60,2;62;14,1;0;0;41;84;51,7;68,8
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Jüri Gümnaasium;statsionaarne õpe;20;100;55,9;55,9;56,5;14,1;0;0;35;79;49,2;62,5
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Viimsi Gümnaasium;statsionaarne õpe;54;100;69,9;69,9;70;13;0;0;40;98;66,3;73,4
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Valga maakond;Valga Gümnaasium;statsionaarne õpe;24;100;57,5;57,5;59,5;16,4;0;0;29;89;50,6;64,5
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Lääne-Viru maakond;Kadrina Keskkool;statsionaarne õpe;16;100;65,2;65,2;66;16,7;0;0;19;89;56,4;74,1
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Lilleküla Gümnaasium;statsionaarne õpe;30;100;63,9;63,9;62,5;12,5;0;0;38;85;59,3;68,6
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna 32. Keskkool;statsionaarne õpe;82;100;68,9;68,9;67;15,1;0;0;27;97;65,5;72,2
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Lähte Ühisgümnaasium;statsionaarne õpe;15;100;69,7;69,7;68;11;0;0;52;89;63,6;75,8
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Loo Keskkool;statsionaarne õpe;6;100;44;44;43;13,9;0;0;24;61;29,4;58,6
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Lääne-Viru maakond;Rakvere Eragümnaasium;statsionaarne õpe;6;100;47,3;47,3;48,5;9,7;0;0;36;58;37,1;57,5
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Muusikakeskkool;statsionaarne õpe;6;100;70,8;70,8;73,5;14,5;0;0;46;87;55,6;86
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Tartu Täiskasvanute Gümnaasium;üksikud õppeained mittestatsionaarses õppes;5;100;40,2;40,2;36;13,3;0;0;30;63;23,7;56,7
2020;Eesti keel (riigieksam 2020);5977;M;kutseõppeasutus;eesti;Eesti keel;Harju maakond;Tallinna Tööstushariduskeskus;statsionaarne õpe - koolipõhine õpe;5;100;25,4;25,4;24;16,1;0;0;8;51;5,4;45,4
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Põlva maakond;Kanepi Gümnaasium;statsionaarne õpe;8;100;62;62;59,5;18,9;0;0;31;88;46,2;77,8
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Täiskasvanute Gümnaasium;mittestatsionaarne õpe;33;100;49,2;49,2;44;16,3;0;0;27;88;43,5;55
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Pärnu maakond;Pärnu Sütevaka Humanitaargümnaasium;statsionaarne õpe;12;100;67,5;67,5;72,5;18,1;0;0;37;89;56;79
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Tartu Tamme Gümnaasium;statsionaarne õpe;74;100;65,2;65,2;66;12,9;0;0;30;89;62,2;68,2
2020;Eesti keel (riigieksam 2020);5977;N;kutseõppeasutus;eesti;Eesti keel;Saare maakond;Kuressaare Ametikool;statsionaarne õpe - koolipõhine õpe;5;100;33,2;33,2;30;21,7;0;0;6;61;6,2;60,2
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Ühisgümnaasium;statsionaarne õpe;48;100;67,7;67,7;68;12,7;0;0;37;87;64;71,4
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Lääne-Viru maakond;Kadrina Keskkool;statsionaarne õpe;14;100;49,4;49,4;51,5;19,5;0;0;14;86;38,1;60,6
2020;Eesti keel (riigieksam 2020);5977;N;Määramata;eesti;Eesti keel;Määramata;Määramata;Määramata;22;100;63,7;63,7;64;21,9;0;0;20;97;54;73,4
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Tartu Kristjan Jaak Petersoni Gümnaasium;statsionaarne õpe;79;100;63;63;65;15,5;0;0;19;92;59,6;66,5
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Jõgeva maakond;Põltsamaa Ühisgümnaasium;statsionaarne õpe;25;100;68,4;68,4;74;19,1;0;0;26;93;60,5;76,2
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Tartu Jaan Poska Gümnaasium;statsionaarne õpe;63;100;65,1;65,1;65;11,8;0;0;27;92;62,1;68,1
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Tartu Kristjan Jaak Petersoni Gümnaasium;statsionaarne õpe;81;100;54,8;54,8;54;15,6;0;0;12;92;51,3;58,2
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Hugo Treffneri Gümnaasium;statsionaarne õpe;65;100;79,3;79,3;82;12,8;0;0;49;98;76,1;82,4
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Rapla maakond;Märjamaa Gümnaasium;statsionaarne õpe;16;100;63,8;63,8;63,5;12,3;0;0;42;80;57,2;70,3
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Lääne-Viru maakond;Väike-Maarja Gümnaasium;statsionaarne õpe;6;100;60,7;60,7;57,5;14,9;0;0;43;79;45;76,4
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Jüri Gümnaasium;statsionaarne õpe;20;100;62,6;62,6;63;13,8;0;0;30;82;56,2;69,1
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Pärnu maakond;Pärnu Koidula Gümnaasium;statsionaarne õpe;65;100;64,7;64,7;66;13,7;0;0;35;89;61,3;68
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Nõmme Gümnaasium;statsionaarne õpe;48;100;54,5;54,5;55,5;14,7;0;0;22;83;50,2;58,8
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Vanalinna Täiskasvanute Gümnaasium;mittestatsionaarne õpe;25;100;48,7;48,7;47;17,1;0;0;19;87;41,6;55,7
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Saue Gümnaasium;statsionaarne õpe;16;100;56,6;56,6;57;14,7;0;0;22;77;48,8;64,5
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Pärnu maakond;Pärnu Ühisgümnaasium;statsionaarne õpe;30;100;54;54;53;13,6;0;0;31;86;49;59,1
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Põlva maakond;Põlva Gümnaasium;statsionaarne õpe;34;100;60,3;60,3;58,5;12,3;0;0;39;79;56;64,6
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Mustamäe Gümnaasium;statsionaarne õpe;25;100;70,1;70,1;71;15,1;0;0;27;90;63,9;76,3
2020;Eesti keel (riigieksam 2020);5977;M;kutseõppeasutus;eesti;Eesti keel;Pärnu maakond;Pärnumaa Kutsehariduskeskus;statsionaarne õpe - koolipõhine õpe;12;100;41;41;48;21,4;1;0;0;71;27,4;54,6
2020;Eesti keel (riigieksam 2020);5977;M;Määramata;eesti;Eesti keel;Määramata;Määramata;Määramata;10;100;60,4;60,4;59,5;12,1;0;0;40;79;51,7;69,1
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Hugo Treffneri Gümnaasium;statsionaarne õpe;111;100;82,1;82,1;83;10,2;0;1;51;100;80,2;84
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Valga maakond;Valga Gümnaasium;statsionaarne õpe;25;100;49,5;49,5;49;14;0;0;24;79;43,7;55,2
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;EBS Gümnaasium;statsionaarne õpe;12;100;64,8;64,8;62,5;13,5;0;0;35;83;56,2;73,3
2020;Eesti keel (riigieksam 2020);5977;M;kutseõppeasutus;eesti;Eesti keel;Tartu maakond;Tartu Kutsehariduskeskus;statsionaarne õpe - koolipõhine õpe;29;100;49,1;49,1;49;19,3;0;0;20;88;41,8;56,5
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Hiiu maakond;Hiiumaa Gümnaasium;statsionaarne õpe;14;100;52;52;49,5;16,4;0;0;30;81;42,5;61,5
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Valga maakond;Tõrva Gümnaasium;statsionaarne õpe;13;100;46,8;46,8;47;11,9;0;0;30;77;39,6;54,1
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Elva Gümnaasium;statsionaarne õpe;8;100;51,1;51,1;50;10,2;0;0;35;69;42,6;59,7
